Class,Alcohol,Malic acid, Ash, Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1,14.23,1.71,2.43,15.6,127,2.8,3.06,.28,2.29,5.64,1.04,3.92,1065,7,0.27,0.36,20.7,45,45,170,1001,3,0.45,8.8,6
1,13.2,1.78,2.14,11.2,100,2.65,2.76,.26,1.28,4.38,1.05,3.4,1050,6.3,0.3,0.34,1.6,49,14,132,994,3.3,0.49,9.5,6
1,13.16,2.36,2.67,18.6,101,2.8,3.24,.3,2.81,5.68,1.03,3.17,1185,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6
1,14.37,1.95,2.5,16.8,113,3.85,3.49,.24,2.18,7.8,.86,3.45,1480,7.2,0.23,0.32,8.5,58,47,186,0.9956,3.19,0.4,9.9,6
1,13.24,2.59,2.87,21,118,2.8,2.69,.39,1.82,4.32,1.04,2.93,735,7.2,0.23,0.32,8.5,58,47,186,0.9956,3.19,0.4,9.9,6
1,14.2,1.76,2.45,15.2,112,3.27,3.39,.34,1.97,6.75,1.05,2.85,1450,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6
1,14.39,1.87,2.45,14.6,96,2.5,2.52,.3,1.98,5.25,1.02,3.58,1290,6.2,0.32,0.16,7,45,30,136,0.9949,3.18,0.47,9.6,6
1,14.06,2.15,2.61,17.6,121,2.6,2.51,.31,1.25,5.05,1.06,3.58,1295,7,0.27,0.36,20.7,45,45,170,1001,3,0.45,8.8,6
1,14.83,1.64,2.17,14,97,2.8,2.98,.29,1.98,5.2,1.08,2.85,1045,6.3,0.3,0.34,1.6,49,14,132,994,3.3,0.49,9.5,6
1,13.86,1.35,2.27,16,98,2.98,3.15,.22,1.85,7.22,1.01,3.55,1045,8.1,0.22,0.43,1.5,44,28,129,0.9938,3.22,0.45,11,6
1,14.1,2.16,2.3,18,105,2.95,3.32,.22,2.38,5.75,1.25,3.17,1510,8.1,0.27,0.41,1.45,33,11,63,0.9908,2.99,0.56,12,5
1,14.12,1.48,2.32,16.8,95,2.2,2.43,.26,1.57,5,1.17,2.82,1280,8.6,0.23,0.4,4.2,35,17,109,0.9947,3.14,0.53,9.7,5
1,13.75,1.73,2.41,16,89,2.6,2.76,.29,1.81,5.6,1.15,2.9,1320,7.9,0.18,0.37,1.2,0.04,16,75,992,3.18,0.63,10.8,5
1,14.75,1.73,2.39,11.4,91,3.1,3.69,.43,2.81,5.4,1.25,2.73,1150,6.6,0.16,0.4,1.5,44,48,143,0.9912,3.54,0.52,12.4,7
1,14.38,1.87,2.38,12,102,3.3,3.64,.29,2.96,7.5,1.2,3,1547,8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,5
1,13.63,1.81,2.7,17.2,112,2.85,2.91,.3,1.46,7.3,1.28,2.88,1310,6.6,0.17,0.38,1.5,32,28,112,0.9914,3.25,0.55,11.4,7
1,14.3,1.92,2.72,20,120,2.8,3.14,.33,1.97,6.2,1.07,2.65,1280,6.3,0.48,0.04,1.1,46,30,99,0.9928,3.24,0.36,9.6,6
1,13.83,1.57,2.62,20,115,2.95,3.4,.4,1.72,6.6,1.13,2.57,1130,6.2,0.66,0.48,1.2,29,29,75,0.9892,3.33,0.39,12.8,8
1,14.19,1.59,2.48,16.5,108,3.3,3.93,.32,1.86,8.7,1.23,2.82,1680,7.4,0.34,0.42,1.1,33,17,171,0.9917,3.12,0.53,11.3,6
1,13.64,3.1,2.56,15.2,116,2.7,3.03,.17,1.66,5.1,.96,3.36,845,6.5,0.31,0.14,7.5,44,34,133,0.9955,3.22,0.5,9.5,5
1,14.06,1.63,2.28,16,126,3,3.17,.24,2.1,5.65,1.09,3.71,780,6.2,0.66,0.48,1.2,29,29,75,0.9892,3.33,0.39,12.8,8
1,12.93,3.8,2.65,18.6,102,2.41,2.41,.25,1.98,4.5,1.03,3.52,770,6.4,0.31,0.38,2.9,38,19,102,0.9912,3.17,0.35,11,7
1,13.71,1.86,2.36,16.6,101,2.61,2.88,.27,1.69,3.8,1.11,4,1035,6.8,0.26,0.42,1.7,49,41,122,993,3.47,0.48,10.5,8
1,12.85,1.6,2.52,17.8,95,2.48,2.37,.26,1.46,3.93,1.09,3.63,1015,7.6,0.67,0.14,1.5,74,25,168,0.9937,3.05,0.51,9.3,5
1,13.5,1.81,2.61,20,96,2.53,2.61,.28,1.66,3.52,1.12,3.82,845,6.6,0.27,0.41,1.3,52,16,142,0.9951,3.42,0.47,10,6
1,13.05,2.05,3.22,25,124,2.63,2.68,.47,1.92,3.58,1.13,3.2,830,7,0.25,0.32,9,46,56,245,0.9955,3.25,0.5,10.4,6
1,13.39,1.77,2.62,16.1,93,2.85,2.94,.34,1.45,4.8,.92,3.22,1195,6.9,0.24,0.35,1,52,35,146,993,3.45,0.44,10,6
1,13.3,1.72,2.14,17,94,2.4,2.19,.27,1.35,3.95,1.02,2.77,1285,7,0.28,0.39,8.7,51,32,141,0.9961,3.38,0.53,10.5,6
1,13.87,1.9,2.8,19.4,107,2.95,2.97,.37,1.76,4.5,1.25,3.4,915,7.4,0.27,0.48,1.1,47,17,132,0.9914,3.19,0.49,11.6,6
1,14.02,1.68,2.21,16,96,2.65,2.33,.26,1.98,4.7,1.04,3.59,1035,7.2,0.32,0.36,2,33,37,114,0.9906,3.1,0.71,12.3,7
1,13.73,1.5,2.7,22.5,101,3,3.25,.29,2.38,5.7,1.19,2.71,1285,8.5,0.24,0.39,10.4,44,20,142,0.9974,3.2,0.53,10,6
1,13.58,1.66,2.36,19.1,106,2.86,3.19,.22,1.95,6.9,1.09,2.88,1515,8.3,0.14,0.34,1.1,42,7,47,0.9934,3.47,0.4,10.2,6
1,13.68,1.83,2.36,17.2,104,2.42,2.69,.42,1.97,3.84,1.23,2.87,990,7.4,0.25,0.36,2.05,0.05,31,100,992,3.19,0.44,10.8,6
1,13.76,1.53,2.7,19.5,132,2.95,2.74,.5,1.35,5.4,1.25,3,1235,6.2,0.12,0.34,1.5,45,43,117,0.9939,3.42,0.51,9,6
1,13.51,1.8,2.65,19,110,2.35,2.53,.29,1.54,4.2,1.1,2.87,1095,5.8,0.27,0.2,14.95,44,22,179,0.9962,3.37,0.37,10.2,5
1,13.48,1.81,2.41,20.5,100,2.7,2.98,.26,1.86,5.1,1.04,3.47,920,7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,5
1,13.28,1.64,2.84,15.5,110,2.6,2.68,.34,1.36,4.6,1.09,2.78,880,6.5,0.39,0.23,5.4,51,25,149,0.9934,3.24,0.35,10,5
1,13.05,1.65,2.55,18,98,2.45,2.43,.29,1.44,4.25,1.12,2.51,1105,7,0.33,0.32,1.2,53,38,138,0.9906,3.13,0.28,11.2,6
1,13.07,1.5,2.1,15.5,98,2.4,2.64,.28,1.37,3.7,1.18,2.69,1020,7.3,0.24,0.39,17.95,57,45,149,0.9999,3.21,0.36,8.6,5
1,14.22,3.99,2.51,13.2,128,3,3.04,.2,2.08,5.1,.89,3.53,760,7.3,0.24,0.39,17.95,57,45,149,0.9999,3.21,0.36,8.6,5
1,13.56,1.71,2.31,16.2,117,3.15,3.29,.34,2.34,6.13,.95,3.38,795,6.7,0.23,0.39,2.5,172,63,158,0.9937,3.11,0.36,9.4,6
1,13.41,3.84,2.12,18.8,90,2.45,2.68,.27,1.48,4.28,.91,3,1035,6.7,0.24,0.39,2.9,173,63,157,0.9937,3.1,0.34,9.4,6
